shipmode;sales;quantity;discount;profit;segment;region;state;subcategory;category;orderdate_day;orderdate_month;orderdate_year;shipdate_day;shipdate_month;shipdate_year;preparationtime;Pais1;Pais2;Pais3;Pais4;Pais5;Pais6
Standard Class;681408;12;2;42588;Consumer;East;New York;Bookcases;Furniture;30;11;2014;4;12;2014;4;España;Reino Unido;Italia;Portugal;;
Second Class;21294;3;0;53235;Corporate;Central;Missouri;Bookcases;Furniture;14;1;2016;19;1;2016;5;España;Reino Unido;Italia;Portugal;;
First Class;3549;5;0;88725;Consumer;South;Georgia;Bookcases;Furniture;9;4;2015;12;4;2015;3;España;Reino Unido;Italia;Portugal;;
Standard Class;8498;1;0;186956;Home Office;West;Washington;Bookcases;Furniture;22;1;2016;26;1;2016;4;España;Reino Unido;Italia;Portugal;;
Standard Class;33992;5;2;8498;Home Office;South;Florida;Bookcases;Furniture;25;11;2015;1;12;2015;6;España;Reino Unido;Italia;Portugal;;
First Class;314352;3;2;-157176;Consumer;South;Florida;Bookcases;Furniture;1;5;2016;2;5;2016;1;España;Reino Unido;Italia;Portugal;;
Standard Class;13098;2;5;-890664;Consumer;East;Pennsylvania;Bookcases;Furniture;25;8;2016;29;8;2016;4;España;Reino Unido;Italia;Portugal;;
Second Class;26196;2;0;419136;Consumer;South;Kentucky;Bookcases;Furniture;9;11;2015;12;11;2015;3;España;Francia;Italia;Portugal;;
Standard Class;556665;5;15;6549;Consumer;West;California;Bookcases;Furniture;10;4;2015;15;4;2015;5;Reino Unido;Francia;Italia;Portugal;;
Standard Class;240784;1;2;30098;Consumer;East;New York;Bookcases;Furniture;7;2;2016;12;2;2016;5;Reino Unido;Francia;Italia;Portugal;;
Second Class;722352;3;2;90294;Consumer;East;New York;Bookcases;Furniture;7;9;2015;10;9;2015;3;Reino Unido;Francia;Italia;Portugal;;
First Class;1279165;5;15;225735;Consumer;West;California;Bookcases;Furniture;5;7;2015;7;7;2015;2;Reino Unido;Francia;Italia;Portugal;;
Second Class;2046664;1;32;-60196;Consumer;Central;Texas;Bookcases;Furniture;30;5;2016;3;6;2016;4;Reino Unido;Francia;Italia;Portugal;;
Standard Class;1023332;5;32;-30098;Consumer;Central;Texas;Bookcases;Furniture;27;3;2016;1;4;2016;5;Reino Unido;Francia;Italia;Portugal;;
Standard Class;180588;2;7;-240784;Consumer;West;Colorado;Bookcases;Furniture;23;9;2016;29;9;2016;6;Reino Unido;Francia;Italia;Portugal;;
First Class;12279984;6;32;-361176;Corporate;Central;Texas;Bookcases;Furniture;1;3;2014;4;3;2014;3;Reino Unido;Francia;Italia;Portugal;;
Standard Class;6139992;3;32;-180588;Consumer;Central;Texas;Bookcases;Furniture;13;11;2014;17;11;2014;4;Reino Unido;Francia;Italia;Portugal;;
First Class;257568;2;2;-289764;Consumer;East;New York;Bookcases;Furniture;26;3;2016;27;3;2016;1;Reino Unido;Francia;Italia;Portugal;;
Second Class;48294;6;5;-3766932;Corporate;East;Ohio;Bookcases;Furniture;28;6;2014;3;7;2014;5;Reino Unido;Francia;Italia;Portugal;;
Standard Class;273666;2;15;-128784;Corporate;West;California;Bookcases;Furniture;17;9;2015;23;9;2015;6;Reino Unido;Francia;Italia;Portugal;;
Standard Class;30245;5;5;-199617;Corporate;East;Ohio;Bookcases;Furniture;3;3;2013;8;3;2013;5;Reino Unido;Francia;Italia;Portugal;;
Standard Class;387136;4;2;-145176;Home Office;South;Tennessee;Bookcases;Furniture;23;4;2016;27;4;2016;4;Reino Unido;Francia;Italia;Portugal;;
Standard Class;217764;6;7;-3847164;Consumer;West;Oregon;Bookcases;Furniture;2;10;2016;8;10;2016;6;Reino Unido;Francia;Italia;Portugal;;
First Class;18147;5;7;-320597;Consumer;West;Arizona;Bookcases;Furniture;19;1;2013;20;1;2013;1;Reino Unido;Francia;Italia;Portugal;;
Standard Class;1336829;13;15;314548;Consumer;West;California;Bookcases;Furniture;8;12;2016;12;12;2016;4;Reino Unido;Francia;Italia;Portugal;;
Standard Class;72588;2;7;-1282388;Corporate;West;Oregon;Bookcases;Furniture;19;9;2016;25;9;2016;6;Reino Unido;Francia;Italia;Portugal;;
Second Class;24196;2;0;411332;Home Office;Central;Michigan;Bookcases;Furniture;22;9;2016;24;9;2016;2;Reino Unido;Francia;Italia;Portugal;;
Standard Class;3277328;2;32;-144588;Consumer;Central;Texas;Bookcases;Furniture;17;11;2016;23;11;2016;6;España;Francia;Italia;Portugal;;
Second Class;72294;1;7;-988018;Consumer;West;Colorado;Bookcases;Furniture;20;3;2015;22;3;2015;2;España;Francia;Italia;Portugal;;
Second Class;119833;1;15;-126882;Consumer;West;California;Bookcases;Furniture;18;12;2016;23;12;2016;5;España;Francia;Italia;Reino Unido;;
Standard Class;200392;5;2;-25049;Consumer;East;New York;Bookcases;Furniture;17;9;2014;23;9;2014;6;España;Francia;Italia;Reino Unido;;
Standard Class;451136;4;2;-676704;Consumer;South;North Carolina;Bookcases;Furniture;22;1;2015;28;1;2015;6;España;Francia;Italia;Reino Unido;;
Standard Class;3406664;8;15;1603136;Consumer;West;California;Bookcases;Furniture;27;11;2015;1;12;2015;4;España;Francia;Italia;Reino Unido;;
First Class;801568;2;2;-100196;Consumer;East;New York;Bookcases;Furniture;20;9;2013;23;9;2013;3;España;Francia;Italia;Reino Unido;;
Standard Class;359499;3;15;-296058;Consumer;West;California;Bookcases;Furniture;25;11;2016;29;11;2016;4;España;Francia;Italia;Reino Unido;;
Same Day;425833;1;15;200392;Consumer;West;California;Bookcases;Furniture;31;10;2014;31;10;2014;0;España;Francia;Italia;Reino Unido;;
Second Class;400784;1;2;-50098;Consumer;East;New York;Bookcases;Furniture;25;6;2016;27;6;2016;2;España;Francia;Italia;Reino Unido;;
Second Class;7049;5;0;56392;Consumer;West;Washington;Bookcases;Furniture;25;7;2014;27;7;2014;2;España;Francia;Italia;Reino Unido;;
Standard Class;359499;3;15;-296058;Consumer;West;California;Bookcases;Furniture;3;12;2014;7;12;2014;4;España;Francia;Italia;Reino Unido;;
Standard Class;400784;10;2;-50098;Consumer;East;New York;Bookcases;Furniture;17;11;2013;22;11;2013;5;España;Francia;Italia;Reino Unido;;
Standard Class;2202656;4;32;-421096;Corporate;Central;Texas;Bookcases;Furniture;27;4;2016;1;5;2016;4;España;Francia;Italia;Reino Unido;;
Standard Class;388704;6;2;-48588;Consumer;East;New York;Bookcases;Furniture;9;4;2015;14;4;2015;5;España;Francia;Italia;Reino Unido;;
Second Class;145764;6;7;-2477988;Consumer;West;Colorado;Bookcases;Furniture;20;11;2014;23;11;2014;3;España;Francia;Italia;Reino Unido;;
Second Class;52196;4;5;-2505408;Corporate;East;Pennsylvania;Bookcases;Furniture;11;11;2013;15;11;2013;4;España;Francia;Italia;Reino Unido;;
First Class;1552831;7;15;2009546;Corporate;West;California;Bookcases;Furniture;31;8;2014;2;9;2014;2;España;Francia;Italia;Reino Unido;;
First Class;626352;3;2;469764;Home Office;East;New York;Bookcases;Furniture;12;10;2014;14;10;2014;2;España;Francia;Italia;Reino Unido;;
Second Class;78294;3;0;2035644;Consumer;East;Massachusetts;Bookcases;Furniture;15;9;2016;17;9;2016;2;España;Francia;Italia;Reino Unido;;
Standard Class;5323992;3;32;-469764;Home Office;Central;Texas;Bookcases;Furniture;27;12;2014;31;12;2014;4;España;Francia;Italia;Reino Unido;;
Standard Class;91343;5;3;-52196;Consumer;Central;Illinois;Bookcases;Furniture;20;7;2014;27;7;2014;7;España;Francia;Italia;Portugal;;
Standard Class;156588;6;0;4071288;Corporate;Central;Wisconsin;Bookcases;Furniture;8;1;2015;12;1;2015;4;España;Francia;Italia;Portugal;;
Same Day;104392;4;0;2714192;Corporate;East;Connecticut;Bookcases;Furniture;22;10;2015;22;10;2015;0;España;Francia;Italia;Portugal;;
Standard Class;14196;2;0;411684;Consumer;West;Washington;Bookcases;Furniture;1;12;2016;8;12;2016;7;España;Francia;Italia;Portugal;;
Standard Class;28392;4;0;823368;Consumer;East;Delaware;Bookcases;Furniture;6;2;2014;13;2;2014;7;España;Francia;Italia;Portugal;;
First Class;63882;9;0;1852578;Corporate;East;Connecticut;Bookcases;Furniture;29;6;2016;2;7;2016;3;Reino Unido;Francia;Italia;Portugal;;
Standard Class;14196;2;0;411684;Consumer;West;Nevada;Bookcases;Furniture;21;11;2014;25;11;2014;4;Reino Unido;Francia;Italia;Portugal;;
Same Day;113568;2;2;127764;Home Office;East;New York;Bookcases;Furniture;22;11;2015;22;11;2015;0;Reino Unido;Francia;Italia;Portugal;;
Second Class;1194165;5;15;210735;Corporate;West;California;Bookcases;Furniture;17;7;2016;19;7;2016;2;Reino Unido;Francia;Italia;Portugal;;
Standard Class;449568;2;2;56196;Consumer;East;New York;Bookcases;Furniture;25;12;2014;30;12;2014;5;Reino Unido;Francia;Italia;Portugal;;
Second Class;1573488;7;2;196686;Corporate;East;New York;Bookcases;Furniture;31;12;2013;4;1;2014;4;Reino Unido;Francia;Italia;Portugal;;
Standard Class;590058;7;7;-786744;Consumer;West;Colorado;Bookcases;Furniture;24;12;2014;28;12;2014;4;Reino Unido;Francia;Italia;Portugal;;
First Class;899136;4;2;112392;Home Office;East;New York;Bookcases;Furniture;12;10;2014;14;10;2014;2;Reino Unido;Francia;Italia;Portugal;;
First Class;477666;2;15;84294;Corporate;West;California;Bookcases;Furniture;26;9;2015;28;9;2015;2;Reino Unido;Francia;Italia;Portugal;;
Standard Class;30196;2;0;60392;Home Office;East;Massachusetts;Bookcases;Furniture;6;7;2014;11;7;2014;5;Reino Unido;Francia;Italia;Portugal;;
Standard Class;2053328;2;32;-362352;Corporate;Central;Texas;Bookcases;Furniture;31;3;2016;4;4;2016;4;Reino Unido;Francia;Italia;Portugal;;
Standard Class;241568;2;2;0;Consumer;South;Florida;Bookcases;Furniture;3;6;2016;10;6;2016;7;Reino Unido;Francia;Italia;Portugal;;
Standard Class;131104;2;2;8194;Corporate;South;Tennessee;Bookcases;Furniture;27;12;2014;31;12;2014;4;Reino Unido;Francia;Italia;Portugal;;
Standard Class;16388;2;0;4097;Home Office;West;Washington;Bookcases;Furniture;21;9;2015;25;9;2015;4;Reino Unido;Francia;Italia;Portugal;;
First Class;8194;1;0;20485;Corporate;East;Massachusetts;Bookcases;Furniture;6;12;2015;8;12;2015;2;Reino Unido;Francia;Italia;Portugal;;
Standard Class;16388;4;5;-8194;Corporate;East;Pennsylvania;Bookcases;Furniture;30;8;2015;4;9;2015;5;Reino Unido;Francia;Italia;Portugal;;
Standard Class;136784;8;0;2598896;Corporate;West;Washington;Bookcases;Furniture;30;7;2013;5;8;2013;6;Reino Unido;Francia;Italia;Portugal;;
Standard Class;435999;3;15;205176;Corporate;West;California;Bookcases;Furniture;23;9;2013;28;9;2013;5;Reino Unido;Francia;Italia;Portugal;;
Standard Class;51294;3;0;974586;Consumer;Central;Wisconsin;Bookcases;Furniture;8;3;2014;12;3;2014;4;Reino Unido;Francia;Italia;Portugal;;
Second Class;17098;1;0;324862;Home Office;East;Massachusetts;Bookcases;Furniture;27;11;2014;29;11;2014;2;España;Francia;Italia;Portugal;;
First Class;183372;2;3;-366744;Consumer;Central;Illinois;Bookcases;Furniture;3;8;2016;4;8;2016;1;España;Francia;Reino Unido;Portugal;;
Standard Class;333999;3;15;39294;Consumer;West;California;Bookcases;Furniture;13;1;2013;18;1;2013;5;España;Francia;Reino Unido;Portugal;;
First Class;556665;5;15;6549;Corporate;West;California;Bookcases;Furniture;27;10;2016;28;10;2016;1;España;Francia;Reino Unido;Portugal;;
Standard Class;314352;3;2;-157176;Consumer;East;New York;Bookcases;Furniture;9;10;2016;14;10;2016;5;España;Francia;Reino Unido;Portugal;;
Standard Class;52392;5;2;-26196;Consumer;East;New York;Bookcases;Furniture;1;10;2015;5;10;2015;4;España;Francia;Reino Unido;Portugal;;
Second Class;34494;3;0;310446;Consumer;East;Maryland;Bookcases;Furniture;4;9;2015;9;9;2015;5;España;Francia;Reino Unido;Portugal;;
Second Class;195466;2;15;-137976;Consumer;West;California;Bookcases;Furniture;17;7;2014;19;7;2014;2;España;Francia;Reino Unido;Portugal;;
First Class;183968;2;2;-252956;Consumer;East;New York;Bookcases;Furniture;20;11;2016;22;11;2016;2;España;Francia;Reino Unido;Portugal;;
First Class;1563728;2;32;-528908;Consumer;Central;Texas;Bookcases;Furniture;29;8;2015;1;9;2015;3;España;Francia;Reino Unido;Portugal;;
Second Class;275952;3;2;-379434;Home Office;East;New York;Bookcases;Furniture;25;11;2013;29;11;2013;4;España;Francia;Reino Unido;Portugal;;
Standard Class;293199;3;15;-206964;Consumer;West;California;Bookcases;Furniture;5;9;2014;9;9;2014;4;España;Francia;Reino Unido;Portugal;;
Standard Class;45992;4;0;413928;Consumer;Central;Wisconsin;Bookcases;Furniture;8;12;2016;13;12;2016;5;España;Francia;Reino Unido;Portugal;;
First Class;88392;5;2;-11049;Consumer;East;New York;Bookcases;Furniture;2;12;2013;4;12;2013;2;España;Francia;Reino Unido;Portugal;;
Second Class;13523976;9;32;-4375404;Consumer;Central;Texas;Bookcases;Furniture;3;1;2014;8;1;2014;5;España;Francia;Reino Unido;Portugal;;
Standard Class;3005328;2;32;-972312;Home Office;Central;Texas;Bookcases;Furniture;25;9;2013;30;9;2013;5;España;Francia;Reino Unido;Portugal;;
Standard Class;353568;2;2;-44196;Consumer;East;New York;Bookcases;Furniture;22;6;2015;27;6;2015;5;España;Francia;Reino Unido;Portugal;;
Standard Class;176784;1;2;-22098;Consumer;East;New York;Bookcases;Furniture;11;3;2015;17;3;2015;6;España;Francia;Reino Unido;Portugal;;
Standard Class;353568;2;2;-44196;Consumer;East;New York;Bookcases;Furniture;4;6;2013;9;6;2013;5;España;Francia;Reino Unido;Portugal;;
Second Class;129294;3;0;775764;Corporate;West;Utah;Bookcases;Furniture;17;9;2016;21;9;2016;4;España;Francia;Reino Unido;Portugal;;
Standard Class;21549;5;0;129294;Consumer;East;New Jersey;Bookcases;Furniture;12;10;2016;16;10;2016;4;España;Francia;Italia;Portugal;;
First Class;6196;4;5;-532856;Corporate;East;Pennsylvania;Bookcases;Furniture;14;1;2013;15;1;2013;1;España;Francia;Italia;Portugal;;
Standard Class;198272;8;2;-322192;Corporate;South;North Carolina;Bookcases;Furniture;14;4;2016;18;4;2016;4;España;Francia;Italia;Portugal;;
Second Class;6196;2;0;43372;Home Office;South;Virginia;Bookcases;Furniture;19;9;2014;24;9;2014;5;España;Francia;Italia;Portugal;;
Standard Class;323136;4;2;121176;Consumer;East;New York;Bookcases;Furniture;30;12;2016;3;1;2017;4;España;Francia;Italia;Portugal;;
Standard Class;2059992;3;32;-272646;Corporate;Central;Texas;Bookcases;Furniture;13;11;2016;19;11;2016;6;España;Francia;Italia;Portugal;;
Standard Class;257499;3;15;242352;Consumer;West;California;Bookcases;Furniture;18;4;2015;22;4;2015;4;España;Francia;Italia;Portugal;;
Standard Class;242352;3;2;90882;Consumer;East;New York;Bookcases;Furniture;14;4;2016;19;4;2016;5;España;Francia;Italia;Portugal;;
First Class;141372;2;3;-141372;Corporate;Central;Illinois;Bookcases;Furniture;24;12;2015;25;12;2015;1;España;Francia;Italia;Portugal;;
Standard Class;30294;3;0;696762;Consumer;South;Virginia;Bookcases;Furniture;21;7;2016;27;7;2016;6;España;Francia;Italia;Portugal;;
Standard Class;40586;7;0;324688;Consumer;Central;Wisconsin;Bookcases;Furniture;9;12;2015;13;12;2015;4;España;Francia;Italia;Portugal;;
Standard Class;69576;4;7;-1437904;Consumer;West;Colorado;Bookcases;Furniture;11;12;2014;16;12;2014;5;España;Francia;Italia;Portugal;;
Standard Class;17394;3;0;139152;Home Office;East;Massachusetts;Bookcases;Furniture;9;9;2015;15;9;2015;6;España;Francia;Italia;Portugal;;
First Class;424116;6;3;-30294;Consumer;Central;Illinois;Bookcases;Furniture;18;11;2013;21;11;2013;3;España;Francia;Italia;Portugal;;
Standard Class;242352;8;7;-363528;Corporate;West;Colorado;Bookcases;Furniture;2;12;2016;6;12;2016;4;España;Francia;Italia;Portugal;;
Standard Class;5049;5;0;126225;Consumer;South;Mississippi;Bookcases;Furniture;20;7;2015;26;7;2015;6;España;Francia;Italia;Portugal;;
First Class;30294;3;0;75735;Corporate;South;Georgia;Bookcases;Furniture;18;5;2016;19;5;2016;1;España;Reino Unido;Italia;Portugal;;
Standard Class;44196;2;0;1016508;Corporate;East;Delaware;Bookcases;Furniture;2;3;2016;8;3;2016;6;España;Reino Unido;Italia;Portugal;;
Second Class;22098;1;0;508254;Corporate;East;Rhode Island;Bookcases;Furniture;22;12;2016;27;12;2016;5;España;Reino Unido;Italia;Portugal;;
Standard Class;66294;1;7;-1038606;Consumer;West;Oregon;Bookcases;Furniture;5;10;2014;9;10;2014;4;España;Reino Unido;Italia;Portugal;;
Standard Class;586398;6;15;34494;Corporate;West;California;Bookcases;Furniture;21;8;2014;26;8;2014;5;España;Reino Unido;Italia;Portugal;;
Second Class;781864;10;32;-137976;Corporate;Central;Texas;Bookcases;Furniture;3;12;2015;5;12;2015;2;España;Reino Unido;Italia;Portugal;;
Standard Class;120666;2;15;21294;Home Office;West;California;Bookcases;Furniture;18;10;2015;22;10;2015;4;España;Reino Unido;Italia;Portugal;;
First Class;482664;8;15;85176;Corporate;West;California;Bookcases;Furniture;1;4;2016;3;4;2016;2;España;Reino Unido;Italia;Portugal;;
Standard Class;198744;4;3;0;Consumer;Central;Illinois;Bookcases;Furniture;4;9;2015;8;9;2015;4;España;Reino Unido;Italia;Portugal;;
Standard Class;307666;2;15;-144784;Consumer;West;California;Bookcases;Furniture;7;10;2016;13;10;2016;6;España;Reino Unido;Italia;Portugal;;
Standard Class;3691992;3;32;-1140174;Corporate;Central;Texas;Bookcases;Furniture;6;8;2014;10;8;2014;4;España;Reino Unido;Italia;Portugal;;
Second Class;2461328;2;32;-760116;Corporate;Central;Texas;Bookcases;Furniture;21;11;2014;26;11;2014;5;España;Reino Unido;Italia;Portugal;;
Standard Class;72392;5;2;-81441;Consumer;South;Florida;Bookcases;Furniture;25;11;2016;30;11;2016;5;España;Reino Unido;Italia;Portugal;;
Second Class;435999;3;15;51294;Consumer;West;California;Bookcases;Furniture;30;6;2016;2;7;2016;2;España;Reino Unido;Italia;Portugal;;
First Class;34196;2;0;547136;Consumer;Central;Oklahoma;Bookcases;Furniture;11;11;2015;13;11;2015;2;España;Reino Unido;Italia;Portugal;;
Standard Class;359058;3;3;-718116;Consumer;Central;Illinois;Bookcases;Furniture;20;12;2014;25;12;2014;5;España;Reino Unido;Italia;Portugal;;
First Class;290666;2;15;34196;Consumer;West;California;Bookcases;Furniture;31;1;2013;2;2;2013;2;España;Reino Unido;Italia;Portugal;;
Standard Class;203983;2;15;167986;Home Office;West;California;Bookcases;Furniture;11;2;2016;15;2;2016;4;España;Reino Unido;Italia;Portugal;;
First Class;35997;3;0;791934;Consumer;South;Virginia;Bookcases;Furniture;7;2;2016;10;2;2016;3;España;Reino Unido;Italia;Portugal;;
First Class;3059745;3;15;251979;Corporate;West;California;Bookcases;Furniture;16;11;2013;18;11;2013;2;España;Francia;Italia;Portugal;;
Standard Class;9179235;9;15;755937;Consumer;West;California;Bookcases;Furniture;18;6;2016;23;6;2016;5;España;Francia;Italia;Portugal;;
Same Day;23998;2;0;527956;Home Office;South;Georgia;Bookcases;Furniture;5;2;2015;5;2;2015;0;España;Francia;Italia;Portugal;;
Standard Class;191984;2;2;47996;Consumer;East;New York;Bookcases;Furniture;25;12;2016;29;12;2016;4;España;Francia;Italia;Portugal;;
Standard Class;299975;5;5;-167986;Consumer;East;Ohio;Bookcases;Furniture;30;3;2015;3;4;2015;4;España;Francia;Italia;Portugal;;
Standard Class;5099575;5;15;419965;Corporate;West;California;Bookcases;Furniture;14;5;2014;19;5;2014;5;España;Francia;Italia;Portugal;;
Standard Class;287976;3;2;71994;Corporate;East;New York;Bookcases;Furniture;13;12;2016;18;12;2016;5;España;Francia;Italia;Portugal;;
Standard Class;35245;5;5;-21147;Home Office;East;Pennsylvania;Bookcases;Furniture;5;4;2014;10;4;2014;5;España;Francia;Italia;Portugal;;
First Class;239666;2;15;14098;Consumer;West;California;Bookcases;Furniture;18;6;2015;20;6;2015;2;España;Francia;Italia;Portugal;;
First Class;49343;5;3;-7049;Consumer;Central;Illinois;Bookcases;Furniture;20;9;2013;23;9;2013;3;España;Francia;Italia;Portugal;;
First Class;3834656;4;32;-676704;Home Office;Central;Texas;Bookcases;Furniture;19;3;2014;22;3;2014;3;España;Francia;Italia;Portugal;;
Same Day;599165;5;15;35245;Home Office;West;California;Bookcases;Furniture;15;6;2015;15;6;2015;0;España;Francia;Italia;Portugal;;
Second Class;239666;2;15;14098;Consumer;West;California;Bookcases;Furniture;3;9;2016;7;9;2016;4;España;Francia;Italia;Portugal;;
Second Class;119833;10;15;7049;Home Office;West;California;Bookcases;Furniture;18;3;2013;21;3;2013;3;España;Francia;Italia;Portugal;;
Standard Class;119833;1;15;7049;Home Office;West;California;Bookcases;Furniture;9;7;2013;14;7;2013;5;España;Francia;Italia;Portugal;;
